original,translation,phonetics,format,notes
מִטַּמֵּא טֻמְאַת אֹהָלִים,"recibe impureza de tiendas,",mitame tumat ohalim,,
אֶלָּא פִשְׁתָּן.,salvo lino.,ela fishtan.,,
פְּתִילַת הַבֶּגֶד שֶׁקִּפְּלָהּ,Una mecha de tela,petilat habeged shekiplah,,
"וְלֹא הִבְהֲבָהּ,",que fue doblada y no fue chamuscada:,"velo hivhavah,",,
"רַבִּי אֱלִיעֶזֶר אוֹמֵר,",Rabi Eliezer dice:,"rabi eliezer omer,",,
"טְמֵאָה,","[es] impura,","temeah,",,
וְאֵין מַדְלִיקִין בָּהּ.,y no se enciende con ella.,veein madlikin bah.,,
"רַבִּי עֲקִיבָא אוֹמֵר,",Rabi Akiva dice:,"rabi Akiva omer,",,
"טְהוֹרָה,","[es] pura,","tehvorah,",,
וּמַדְלִיקִין בָּהּ:,y se enciende con ella.,umadlikin bah:,,
לֹא יִקֹּב אָדָם,No debe una persona perforar,lo yikov adam,,
שְׁפוֹפֶרֶת שֶׁל בֵּיצָה וִימַלְאֶנָּה,"una cascara de huevo y llenarla,",shefvoferet shel beitzah vimalenah,,
שֶׁמֶן וְיִתְּנֶנָּה עַל פִּי הַנֵּר,"con aceite, y ponerla sobre la abertura de la lampara",shemen veiitnenah al pi haner,,
"בִּשְׁבִיל שֶׁתְּהֵא מְנַטֶּפֶת,","para que gotee,","bishvil shetehe menatefet,",,
אֲפִלּוּ הִיא שֶׁל חֶרֶס.,aunque sea de barro.,afilu hi shel jeres.,,
וְרַבִּי יְהוּדָה מַתִּיר.,Pero Rabi Yehuda lo permite.,verabi yehudah matir.,,
אֲבָל אִם,Pero si el alfarero,aval im,,
"חִבְּרָהּ הַיּוֹצֵר מִתְּחִלָּה,","la unio desde el principio,","jibrah hayvotzer mitjilah,",,
"מֻתָּר,","[esta] permitido,","mutar,",,
מִפְּנֵי שֶׁהוּא,porque es,mipnei shehu,,
כְלִי אֶחָד.,un solo recipiente.,jeli ejad.,,
לֹא יְמַלֵּא אָדָם,No debe una persona llenar,lo yemale adam,,
אֶת הַקְּעָרָה שֶׁמֶן,"un plato con aceite,",et hakarah shemen,,
וְיִתְּנֶנָּה בְצַד הַנֵּר וְיִתֵּן,y ponerlo junto a la lampara y poner,veiitnenah vetzad haner veiiten,,
"רֹאשׁ הַפְּתִילָה בְתוֹכָהּ,","la punta de la mecha dentro de el,","rosh haptilah vetvojah,",,
בִּשְׁבִיל שֶׁתְּהֵא שׁוֹאֶבֶת.,para que absorba.,bishvil shetehe shvoevet.,,
וְרַבִּי יְהוּדָה מַתִּיר:,Pero Rabi Yehuda lo permite.,verabi yehudah matir:,,
הַמְכַבֶּה אֶת הַנֵּר מִפְּנֵי,El que apaga la lampara,hamjabeh et haner mipnei,,
"שֶׁהוּא מִתְיָרֵא מִפְּנֵי גוֹיִם,","porque teme a gentiles,","shehu mityare mipnei gvoyim,",,
"מִפְּנֵי לִסְטִים,","por ladrones,","mipnei listim,",,
"מִפְּנֵי רוּחַ רָעָה,","por un mal espiritu,","mipnei ruja raah,",,
וְאִם,o si,veim,,
"בִּשְׁבִיל הַחוֹלֶה שֶׁיִּישַׁן,","[lo hace] por un enfermo para que duerma,","bishvil hajvoleh sheiishan,",,
פָּטוּר.,[esta] exento.,patur.,,
כְּחָס,Si,kejas,,
"עַל הַנֵּר,","[lo hace] para ahorrar la lampara,","al haner,",,
"כְּחָס עַל הַשֶּׁמֶן,","para ahorrar el aceite,","kejas al hashemen,",,
"כְּחָס עַל הַפְּתִילָה,","para ahorrar la mecha,","kejas al haptilah,",,
חַיָּב.,[es] culpable.,jayav.,,
וְרַבִּי יוֹסֵי פּוֹטֵר,Y Rabi Yose lo exime,verabi yvosei pvoter,,
"בְּכֻלָּן חוּץ מִן הַפְּתִילָה,","en todos [los casos] salvo por la mecha,","bejulan jutz min haptilah,",,
מִפְּנֵי שֶׁהוּא עוֹשָׂהּ פֶּחָם:,porque hace de ella carbon.,mipnei shehu vosah pejam:,,
עַל שָׁלשׁ עֲבֵרוֹת,Por tres transgresiones,al shalsh avervot,,
"נָשִׁים מֵתוֹת בִּשְׁעַת לֵדָתָן,",mueren las mujeres al dar a luz:,"nashim metvot bishat ledatan,",,
עַל שֶׁאֵינָן זְהִירוֹת,por no ser cuidadosas,al sheeinan zehirvot,,
בַּנִּדָּה וּבַחַלָּה וּבְהַדְלָקַת הַנֵּר:,"con nida, con jala y con el encendido de la vela.",banidah uvajalah uvhadlakat haner:,,
שְׁלשָׁה דְבָרִים צָרִיךְ,Tres cosas,shelshah devarim tzarije,,
אָדָם לוֹמַר בְּתוֹךְ,debe una persona decir dentro de,adam lvomar betvoj,,
בֵּיתוֹ עֶרֶב שַׁבָּת,"su casa en la vispera de Shabat,",beitvo erev shabat,,
עִם חֲשֵׁכָה.,al anochecer:,im jashejah.,,
עִשַּׂרְתֶּם.,Separaron diezmos?,isartem.,,
עֵרַבְתֶּם.,Prepararon el eruv?,eravtem.,,
הַדְלִיקוּ אֶת הַנֵּר.,Enciendan la vela.,hadliku et haner.,,
סָפֵק חֲשֵׁכָה,Si hay duda si oscurecio,safek jashejah,,
"סָפֵק אֵין חֲשֵׁכָה,","o duda si no oscurecio,","safek ein jashejah,",,
אֵין מְעַשְּׂרִין,no se separa diezmo,ein measrin,,
"אֶת הַוַּדַּאי,","de lo seguro,","et havaday,",,
וְאֵין מַטְבִּילִין,no se sumergen,veein matbilin,,
"אֶת הַכֵּלִים,","los utensilios,","et hakelim,",,
וְאֵין מַדְלִיקִין,y no se encienden,veein madlikin,,
"אֶת הַנֵּרוֹת,",las velas;,"et hanervot,",,
אֲבָל מְעַשְּׂרִין,pero se separa diezmo,aval measrin,,
"אֶת הַדְּמַאי,","de lo dudoso,","et hadmay,",,
"וּמְעָרְבִין,","se prepara el eruv,","umarvin,",,
וְטוֹמְנִין אֶת הַחַמִּין:,y se guarda la comida caliente.,vetvomnin et hajamin:,,
"תַּנְיָא,",Se ensenio:,"tanya,",,
חֲנַנְיָא אוֹמֵר:,Janania dice:,Janania omer:,,
חַיָּיב אָדָם,una persona debe,jayayv adam,,
לְמַשְׁמֵשׁ בְּבִגְדוֹ עֶרֶב,revisar su ropa en la vispera,lemashmesh bevigdvo erev,,
שַׁבָּת עִם חֲשֵׁכָה,"de Shabat, al anochecer,",shabat im jashejah,,
שֶׁמָּא יִשְׁכַּח וְיֵצֵא.,no sea que olvide [algo] y salga.,shema yishkaj veietze.,,
אָמַר רַב יוֹסֵף:,Rav Yosef dijo:,amar rav yvosef:,,
הִלְכְתָא,[es] una ley,hiljeta,,
רַבָּתִי לְשַׁבָּתָא.,grande para Shabat.,rabati leshabata.,,
אָמַר רַבִּי אֶלְעָזָר,Rabi Elazar dijo,amar rabi Elazar,,
אָמַר רַבִּי חֲנִינָא.,en nombre de Rabi Janina.,amar rabi janina.,,
תַּלְמִידֵי חֲכָמִים מַרְבִּים,Los estudiosos de la Tora aumentan,talmidei jajamim marbim,,
שָׁלוֹם בָּעוֹלָם.,la paz en el mundo.,shalom bavolam.,,
שֶׁנֶּאֱמַר וְכָל,Como fue dicho: y todos,sheneemar vejal,,
בָּנַֽיִךְ לִמּוּדֵי יְהֹוָה,"tus hijos seran instruidos por Adonai,",banayij limudei Adonai,,
וְרַב שְׁלוֹם בָּנָֽיךְ:,y grande sera la paz de tus hijos.,verav shelvom banayje:,,
אַל תִּקְרֵי,No leas,al tikrei,,
בָּנָֽיךְ אֶלָּא בּוֹנָֽיךְ:,"""tus hijos"", sino ""tus constructores"".",banayje ela bvonayje:,,
שָׁלוֹם רָב לְאֹהֲבֵי,Gran paz para los que aman,shalom rav leohavei,,
תוֹרָתֶֽךָ וְאֵין לָֽמוֹ מִכְשׁוֹל:,"Tu Tora, y no hay tropiezo para ellos.",torateja veein lamo mijshvol:,,
יְהִי שָׁלוֹם בְּחֵילֵךְ,"Haya paz en tus murallas,",yehi shalom bejeilej,,
שַׁלְוָה בְּאַרְמְּנוֹתָֽיךְ לְמַֽעַן,"tranquilidad en tus palacios, por",shalvah bearmenotayje lemaan,,
אַחַי וְרֵעָי אֲדַבְּרָה נָא,mis hermanos y mis companieros hablare ahora,ajay vereay adabrah na,,
שָׁלוֹם בָּךְ:,paz en ti.,shalom baj:,,
לְמַֽעַן בֵּית יְהֹוָה,Por la Casa de Adonai,lemaan beit Adonai,,
אֱלֹהֵֽינוּ אֲבַקְ֒שָׁה,"nuestro Dios, buscare",eloheinu avakshah,,
טוֹב לָךְ:,el bien para ti.,tov laj:,,
יְהֹוָה עוֹז לְעַמּוֹ יִתֵּן,Adonai dara fuerza a Su pueblo;,Adonai oz leamo yiten,,
יְהֹוָה יְבָרֵךְ אֶת־עַמּוֹ בַּשָּׁלוֹם:,Adonai bendecira a Su pueblo con paz.,Adonai yevarej et-amo bashalom:,,
